matrix,kind,shape,m,n,density,rhs,status,rank,rank_lo,rank_hi,router_s,gelsy_s,speedup,comparable
LPnetlib/lp_fit2d,linear programming problem,underdetermined,25,10524,0.4904675028506271,supplied b,INFINITE,25,25,25,0.4474461510544643,0.007339419913478196,0.016402912163132728,True
LPnetlib/lp_fit1d,linear programming problem,underdetermined,24,1049,0.5333253892596124,supplied b,INFINITE,24,24,24,0.006362291984260082,0.0006024320609867573,0.09468789902713315,True
Meszaros/cari,linear programming problem,underdetermined,400,1200,0.31833333333333336,supplied b,INFINITE,400,400,400,0.11346406606025994,0.0411932859569788,0.3630513817044186,True
JGD_Kocay/Trec8,combinatorial problem,underdetermined,23,84,0.2841614906832298,b = A x,INFINITE,23,23,23,0.00018204492516815662,8.961802814155817e-05,0.49228523156455556,True
NYPA/Maragal_1,least squares problem,overdetermined,32,14,0.5223214285714286,supplied b,INFINITE,10,10,14,5.227699875831604e-05,3.156997263431549e-05,0.6038979548207796,True
JGD_Trefethen/Trefethen_20,combinatorial problem,square,20,20,0.395,b = A x,UNIQUE,20,20,20,2.37020431086421e-05,2.3249071091413498e-05,0.9808889041694704,True
Meszaros/kleemin,linear programming problem sequence,underdetermined,8,16,0.34375,b = A x,INFINITE,8,8,8,3.631098661571741e-05,3.610400017350912e-05,0.9942996194402854,True
JGD_Kocay/Trec7,combinatorial problem,underdetermined,11,36,0.3712121212121212,b = A x,INFINITE,11,11,11,4.407495725899935e-05,4.8339017666876316e-05,1.0967456504340982,True
Rommes/ww_36_pmec_36,eigenvalue/model reduction problem,square,66,66,0.2741046831955923,b = A x,UNIQUE,66,66,66,5.505792796611786e-05,7.497589103877544e-05,1.3617637606143644,True
FIDAP/ex5,computational fluid dynamics problem,square,27,27,0.38271604938271603,b = A x,UNIQUE,27,27,27,3.9244070649147034e-05,5.408597644418478e-05,1.378194859746547,True
JGD_Trefethen/Trefethen_20b,combinatorial problem,square,19,19,0.407202216066482,b = A x,UNIQUE,19,19,19,1.1986005119979382e-05,1.742900349199772e-05,1.4541128021833933,True
vanHeukelum/cage4,directed weighted graph,square,9,9,0.6049382716049383,b = A x,UNIQUE,9,9,9,1.8215971067547798e-05,2.7504051104187965e-05,1.5098866265322035,True
Pajek/Stranke94,undirected weighted graph,square,10,10,0.9,b = A x,UNIQUE,10,10,10,8.490053005516529e-06,1.312699168920517e-05,1.546161334997052,True
HB/bcsstk02,structural problem,square,66,66,1.0,b = A x,UNIQUE,66,66,66,0.00013430905528366566,0.00021541304886341095,1.6038609489766023,True
Oberwolfach/LF10,model reduction problem,square,18,18,0.25308641975308643,b = A x,UNIQUE,18,18,18,2.0171981304883957e-05,3.408198244869709e-05,1.6895703963618736,True
Pajek/Journals,undirected weighted graph,square,124,124,0.7848595213319459,b = A x,UNIQUE,124,124,124,0.0003333271015435457,0.00076580501627177,2.2974580006412277,True
