family,claim,baseline,m,n,note,status,rank,rank_lo,rank_hi,berr,router_s,lapack_s,speedup,measured,verdict
tall,20-80x on m >> n,gelsy,8000,32,,UNIQUE,32,32,32,8.158284484622052e-15,0.00011676608119159937,0.0030623029451817274,26.225963172959872,26.23x,within
tall,20-80x on m >> n,gelsy,7680,64,,UNIQUE,64,64,64,9.849378497511362e-15,0.0003060160670429468,0.00853548792656511,27.892286862726152,27.89x,within
tall,20-80x on m >> n,gelsy,7680,128,,UNIQUE,128,128,128,2.6558722777879164e-15,0.0005178619176149368,0.033333202940411866,64.36697082096934,64.37x,within
tall_grouped,0.56x reported; generator unconfirmed,gelsy,7680,64,8 row groups,UNIQUE,64,64,64,5.3637706192159416e-15,0.0003512840485200286,0.00917245598975569,26.111222608597096,26.11x,recorded
tall_grouped,0.56x reported; generator unconfirmed,gelsy,15360,128,16 row groups,UNIQUE,128,128,128,7.101595586647579e-15,0.001955564017407596,0.07357966294512153,37.62580119604716,37.63x,recorded
square,0.6-0.9x on square,dgesv (LU),256,256,,UNIQUE,256,256,256,8.447985076661679e-17,0.0006886350456625223,0.0007320679724216461,1.0630710374569128,1.06x,OUTSIDE
square,0.6-0.9x on square,dgesv (LU),512,512,,UNIQUE,512,512,512,1.1520730733984407e-16,0.0036116749979555607,0.0037554579321295023,1.0398105959853343,1.04x,OUTSIDE
wide,0.24-0.43x underdetermined,gelsy,128,512,,INFINITE,128,128,128,nan,0.007042463053949177,0.0031290280167013407,0.4443087585595052,0.44x,OUTSIDE
wide,0.24-0.43x underdetermined,gelsy,256,2048,,INFINITE,256,256,256,nan,0.09482789703179151,0.05837307800538838,0.6155686230795409,0.62x,OUTSIDE
wide_extreme,no claim; 0.02x seen at n/m=420,gelsy,32,12800,,INFINITE,32,32,32,nan,0.6358665390871465,0.021690893918275833,0.03411233739302496,0.03x,recorded
cond_1e+02,"UNIQUE with berr <= 1e-14, or declines",gelsy,4000,64,cond 1e+02,UNIQUE,64,64,64,2.622495347401958e-15,0.0001463969238102436,0.0033172689145430923,22.659416797875217,"UNIQUE, berr 2.62e-15",holds
cond_1e+08,"UNIQUE with berr <= 1e-14, or declines",gelsy,4000,64,cond 1e+08,UNIQUE,64,64,64,9.822597397765129e-15,0.0002532020444050431,0.0033539310097694397,13.246066072058296,"UNIQUE, berr 9.82e-15",holds
cond_1e+14,"UNIQUE with berr <= 1e-14, or declines",gelsy,4000,64,cond 1e+14,UNDECIDABLE,47,47,64,nan,0.013597841025330126,0.0033626719377934933,0.24729454709240173,UNDECIDABLE (declined),holds
rank_deficient,INFINITE,gelsy,4000,64,exact rank 40,INFINITE,40,40,64,nan,0.0006116039585322142,0.003311512991786003,5.4144727900932645,INFINITE,holds
inconsistent,INCONSISTENT,gelsy,4000,64,b pushed off the column space,INCONSISTENT,64,64,64,nan,0.00015373202040791512,0.0032867739209905267,21.37989152988002,INCONSISTENT,holds
tall_large,20-80x on m >> n,gelsy,8000,2000,,UNIQUE,2000,2000,2000,1.978769304000974e-15,0.15508869790937752,4.592291035107337,29.610739512370756,29.61x,within
tall_large,20-80x on m >> n,gelsy,20000,2000,,UNIQUE,2000,2000,2000,3.720610607984224e-15,0.1706373889464885,12.366589873912744,72.4729202097137,72.47x,within
square_large,0.6-0.9x on square,dgesv (LU),2000,2000,,UNIQUE,2000,2000,2000,1.2307731084094356e-16,0.1331157520180568,0.13672460103407502,1.0271106083337807,1.03x,OUTSIDE
wide_large,0.24-0.43x underdetermined,gelsy,2000,8000,,INFINITE,2000,2000,2000,nan,18.420783246983774,6.52275293006096,0.3540974801453678,0.35x,within
cond_large_1e+08,"UNIQUE with berr <= 1e-14, or declines",gelsy,6000,2000,cond 1e+08,UNIQUE,2000,2000,2000,6.578031145755952e-16,7.529033961938694,3.3099673509132117,0.4396270979312875,"UNIQUE, berr 6.58e-16",holds
cond_large_1e+14,"UNIQUE with berr <= 1e-14, or declines",gelsy,6000,2000,cond 1e+14,UNDECIDABLE,1417,1417,1983,nan,18.78158883494325,3.514998305006884,0.18715127542709328,UNDECIDABLE (declined),holds
rank_deficient_large,INFINITE,gelsy,6000,2000,exact rank 1500,INFINITE,1500,1500,2000,nan,5.1845506459940225,3.3161100290017202,0.6396137785950646,INFINITE,holds
near_transition_large,UNDECIDABLE with a rank interval,gelsy,6000,2000,eps 1e-11,UNDECIDABLE,1999,1999,2000,nan,52.8875027669128,3.161970519926399,0.059786723791098985,"UNDECIDABLE [1999, 2000]",holds
near_transition,UNDECIDABLE with a rank interval,gelsy,1500,12,eps 1e-12,UNDECIDABLE,11,11,12,nan,0.0004633149364963174,9.489699732512236e-05,0.20482179582370671,"UNDECIDABLE [11, 12]",holds
near_transition,UNDECIDABLE with a rank interval,gelsy,1500,12,eps 1e-10,UNDECIDABLE,11,11,12,nan,0.0004772789543494582,9.153899736702442e-05,0.19179349211363006,"UNDECIDABLE [11, 12]",holds
